ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
HALLMARK_TNFA_SIGNALING_VIA_NFKB,Genes regulated by NF-kB in response to TNF [GeneID=7124].,91/926,192/12583,0.4739583333333333,6.4404078923686106,21.409958888643267,2.9517183084720074e-52,1.6609318921771984e-48,1.3074558570579165e-48,PHLDA1/CCL2/G0S2/MAP3K8/PLPP3/HBEGF/ATP2B1/CSF1/MSC/CXCL2/CEBPB/GPR183/BHLHE40/SGK1/SERPINE1/AREG/IFNGR2/BCL2A1/NINJ1/VEGFA/FOSL2/CDKN1A/PLAUR/FOSL1/NFIL3/ATF3/MARCKS/CXCL3/SDC4/GEM/PLEK/LITAF/KLF10/SLC2A3/ABCA1/SAT1/SMAD3/TRIB1/PHLDA2/DUSP4/CD44/NR4A3/SPHK1/ICOSLG/EIF1/IL1B/NR4A1/DENND5A/PDE4B/IER3/ETS2/JAG1/RIPK2/EHD1/ID2/LAMB3/SPSB1/BTG1/DUSP5/KDM6B/TUBB2A/MCL1/REL/OLR1/DUSP2/MAFF/CEBPD/GADD45B/CD83/PFKFB3/B4GALT5/NFAT5/EGR3/EGR2/B4GALT1/TGIF1/MYC/MXD1/BTG3/PTPRE/ZFP36/SLC16A6/NAMPT/BCL6/PMEPA1/SOCS3/CD69/PDLIM5/PLAU/ZC3H12A/DRAM1,91
HALLMARK_INFLAMMATORY_RESPONSE,Genes defining inflammatory response.,51/926,172/12583,0.29651162790697677,4.0291639459540916,11.27380581976081,1.364148542085083e-18,3.838031923156381e-15,3.0212300342600157e-15,CCL2/HBEGF/HIF1A/ATP2B1/CSF1/MET/GPR183/SERPINE1/IFNGR2/CDKN1A/PLAUR/PIK3R5/IL10/IRAK2/NLRP3/GNA15/AHR/TIMP1/EMP3/C5AR1/OSM/ABCA1/IL1R1/EREG/CXCL8/SPHK1/ICOSLG/ITGA5/IL1B/MARCO/GPR132/PDE4B/RIPK2/ADM/ITGB8/CD82/OLR1/P2RX4/ADORA2B/BEST1/RGS1/MYC/MXD1/LY6E/PTPRE/SLC1A2/NAMPT/PTGER2/ACVR1B/CD69/ADRM1,51
HALLMARK_TGF_BETA_SIGNALING,Genes up-regulated in response to TGFB1 [GeneID=7040].,23/926,52/12583,0.4423076923076923,6.01032148197375,10.203785845321706,2.988264415674995e-13,5.604987955667733e-10,4.4121461968983795e-10,BCAR3/SERPINE1/IFNGR2/CTNNB1/THBS1/NCOR2/KLF10/SMAD3/HIPK2/SMAD7/SKI/ID1/SKIL/SMURF1/ID2/RAB31/ENG/UBE2D3/TGIF1/CDK9/TGFB1/PMEPA1/FURIN,23
GOBP_BLOOD_VESSEL_MORPHOGENESIS,The process in which the anatomical structures of blood vessels are generated and organized. The blood vessel is the vasculature carrying blood. [GOC:jid],75/926,438/12583,0.17123287671232876,2.3268070061244415,7.965865831251554,2.9998635478323774e-12,4.220058045913197e-9,3.321954160336486e-9,RGCC/CCL2/PPARG/HIF1A/TNFRSF12A/SERPINE1/NINJ1/VEGFA/IL10/HMOX1/CLDN5/CTNNB1/EHD4/THBS1/FN1/FGFR1/EPHB1/SPRY2/GNA13/C5AR1/SAT1/ZFP36L1/EREG/CXCL8/NRARP/MECP2/SPHK1/ITGAX/HIPK2/GLUL/SMAD7/ZMIZ1/ITGA5/IL1B/NR4A1/PDGFA/ID1/STARD13/JAG1/BTG1/RUNX1/ADM/ITGB8/GPNMB/NRP2/EPAS1/KLF5/ITGAV/ELK3/FLT1/ANPEP/HLA-G/ENG/CHD7/FMNL3/RASA1/ADGRG1/HOXA5/SHB/AGO2/EGR3/B4GALT1/VAV3/EIF2AK3/RBPJ/MAPK7/ITGB1/TGFB1/ANXA2/ADAM8/SPI1/PRDM1/NUS1/ZC3H12A/ANXA1,75
GOBP_RESPONSE_TO_WOUNDING,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating damage to the organism. [GOC:go_curators]",71/926,415/12583,0.1710843373493976,2.324788571131177,7.734779832523404,1.2273052848582382e-11,1.3812093675794614e-8,1.087263292354414e-8,PPARG/CD109/HBEGF/THBD/HIF1A/TNFRSF12A/SERPINE1/S100A10/VEGFA/CDKN1A/PLAUR/IL10/HMOX1/THBS1/FN1/FOSL1/SDC4/PPARD/TIMP1/TFPI/PLEK/CLEC7A/GNA13/GNA12/CD9/SMAD3/ZFP36L1/EREG/CD44/SLC7A11/ITGA5/RAP2B/PDGFA/VIL1/P2RY1/PLEC/ABHD2/STK24/ITGAV/RREB1/ELK3/P2RX4/RAC1/DPYSL3/UBASH3B/SLC1A3/ENG/ADGRG1/CHMP4B/B4GALT1/CCR1/MAP2K1/CLIC1/SRC/NR3C1/VAV3/ITGB1/EXTL3/GAS6/ZFP36/IL6R/TGFB1/SLC1A2/ARL8B/ANXA2/CD151/TUBB1/DDIT3/BRAF/PLAU/ANXA1,71
GOBP_EPITHELIAL_CELL_DIFFERENTIATION,"The process in which a relatively unspecialized cell acquires specialized features of an epithelial cell, any of the cells making up an epithelium. [GOC:ecd, PMID:11839751]",74/926,448/12583,0.16517857142857142,2.244537758407899,7.5598665554780275,2.5200161568260457e-11,2.3633551524100267e-8,1.8603908750743863e-8,PPARG/CD109/FLNB/HIF1A/MET/MAFB/CEBPB/FAM20C/SERPINE1/VEGFA/FOSL2/CDKN1A/CD63/CLDN5/CTNNB1/RAPGEF1/ZEB2/FGFR1/VIM/LGALS3/SPRY2/MTSS1/SMAD3/ZFP36L1/EREG/ADAM9/IL1B/TAGLN2/RAP2B/ID1/VIL1/SKIL/JAG1/RHEB/ID2/BTG1/KDM6B/TGM3/BASP1/PLEC/EZR/EPAS1/KLF5/FNDC3A/SLC4A7/KDM5B/RAC1/SPRED2/MAFF/DHRS9/RARG/ATF4/CAMSAP3/HOXA5/UPK2/WHRN/B4GALT1/MAP2K1/SRC/S1PR2/RBPJ/EXTL3/VDR/ZFP36/TGFB1/MAFG/BFSP1/GSDME/RPTOR/PRDM1/RAB1A/TMEM38B/RILPL2/ANXA1,74
HALLMARK_IL2_STAT5_SIGNALING,Genes up-regulated by STAT5 in response to IL2 stimulation.,41/926,180/12583,0.22777777777777777,3.0951703863690905,7.979564017268599,4.5346806955844765e-11,3.6452354677219783e-8,2.869464115341275e-8,PHLDA1/MAP3K8/EMP1/CSF1/BHLHE40/DHRS3/TNFRSF21/GABARAPL1/IL10/NCS1/PNP/SNX9/NFIL3/AHR/PLIN2/SLC2A3/CD44/ODC1/HIPK2/ALCAM/DENND5A/MAPKAPK2/ARL4A/PLEC/PRNP/CD86/SLC39A8/ITGAV/P2RX4/SPRED2/GSTO1/MAFF/GADD45B/CD83/MYC/MXD1/IL3RA/PTGER2/IFITM3/FURIN/GPX4,41
GOBP_POSITIVE_REGULATION_OF_LOCOMOTION,"Any process that activates or increases the frequency, rate or extent of locomotion of a cell or organism. [GOC:go_curators]",72/926,438/12583,0.1643835616438356,2.2337347258794638,7.407079742831849,5.97405201717435e-11,3.9325180556192744e-8,3.0956078265591476e-8,CCL2/PLPP3/HBEGF/HIF1A/CSF1/MET/DOCK4/SERPINE1/VEGFA/ARF6/HMOX1/THBS1/FN1/FGFR1/PIK3R1/LGMN/LGALS3/SPRY2/CLEC7A/SEMA3F/C5AR1/CXCR4/CXCL16/SMAD3/IL1R1/SPAG9/CXCL8/NR4A3/ADAM9/SPHK1/ITGAX/CD99/ITGA5/IL1B/PDGFA/SSH1/VIL1/GPNMB/NRP2/MALAT1/SEMA6B/NEDD9/CEMIP/ITGAV/RREB1/P2RX4/FLT1/RAC1/SNAI1/AGO2/CCR1/MAP2K1/SRC/ARHGAP5/IQSEC1/ITGB1/GAS6/IL6R/TGFB1/ABL2/CCL4L2/MAP4K4/BCL6/ADAM8/SPI1/CD151/ACVR1B/NUS1/PLAU/ZC3H12A/ANXA1/CCL3L3,72
HALLMARK_HYPOXIA,Genes up-regulated in response to low oxygen levels (hypoxia).,38/926,160/12583,0.2375,3.2272813174946,7.991140352160668,6.28979251831766e-11,3.9325180556192744e-8,3.0956078265591476e-8,SDC2/BHLHE40/SERPINE1/HS3ST1/VEGFA/FOSL2/CDKN1A/PLAUR/HMOX1/NFIL3/ATF3/FOXO3/SDC4/NOCT/PLIN2/GAPDH/DDIT4/CXCR4/SLC2A3/NEDD4L/SLC6A6/IER3/BTG1/ADM/FBP1/MAFF/ADORA2B/PFKFB3/NDST1/TKTL1/NR3C1/RBPJ/IDS/ZFP36/KDM3A/ANXA2/AK4/DDIT3,38
GOBP_POSITIVE_REGULATION_OF_CELL_DEVELOPMENT,"Any process that increases the rate, frequency or extent of the progression of the cell over time, from its formation to the mature structure. Cell development does not include the steps involved in committing a cell to a specific fate. [GOC:BHF, GOC:dph, GOC:tb]",61/926,344/12583,0.17732558139534885,2.4095980461098,7.471167591335895,8.097891997055811e-11,4.556683826743305e-8,3.5869399498537745e-8,HIF1A/CSF1/TNFRSF12A/VEGFA/IL10/CLDN5/CTNNB1/FN1/PNP/NLRP3/FOXO3/SLC7A5/ZEB2/LGALS3/CLEC7A/KLF10/CXCR4/TRIB1/ZFP36L1/MECP2/SMAD7/ZMIZ1/IL1B/SKIL/SMURF1/RIPK2/RHEB/ID2/RUNX1/EP300/NEDD9/TM4SF19/CD86/RUNX3/HLA-G/CD83/IL1RL2/SHB/BIN1/MALT1/EGR3/EGR2/LGALS1/CCR1/PHF10/MAP2K1/S1PR2/OPA1/ZBTB46/ITGB1/GAS6/TGFB1/BCL6/RPTOR/ADAM8/SPI1/IL4I1/HLA-DRB1/CUX2/BRAF/ANXA1,61
