p_val,avg_log2FC,pct.1,pct.2,p_val_adj
1.1540190238900209e-14,-0.7753461601672118,1,1,2.1656321002320134e-10
1.4366076570412215e-14,1.0674281322105141,1,1,2.6959379292035565e-10
3.1873584180382095e-14,5.389496352380135,0.644,0.054,5.981396807290504e-10
7.750699703740375e-13,2.037805836068191,0.888,0.446,1.4544963064039187e-8
1.285787027234259e-12,-0.7372560669051316,0.995,1,2.4129079353078106e-8
2.40106599783395e-12,5.363404233019042,0.571,0.018,4.505840451535191e-8
5.881798499049845e-11,2.492605138224417,0.688,0.179,1.1037783063316939e-6
3.8767658890104243e-10,-0.7377126902958491,0.995,1,7.275138867316962e-6
6.843627595202467e-10,3.735910584507301,0.541,0.071,1.284275154515695e-5
6.923045046398056e-10,-0.878372185052227,0.868,0.982,1.2991786334070592e-5
7.17743550185982e-10,1.489616022609172,0.868,0.536,1.3469175462790138e-5
8.000635279431163e-10,-2.4554058716451026,0.054,0.357,1.501399216538052e-5
8.922842414586985e-9,-1.4238924690177073,0.332,0.714,1.6744606075213937e-4
1.4789528174598794e-8,1.382218048875135,0.844,0.482,2.77540285724521e-4
3.496582048522348e-8,-1.5742036686420766,0.356,0.714,6.561685872257038e-4
6.445430998120766e-8,1.4439674341876179,0.81,0.5,0.001209549581107343
1.2190528207074755e-7,-2.8686981855428924,0.049,0.286,0.0022876745233396485
1.240204798280803e-7,4.921372283536078,0.39,0.018,0.002327368324453755
1.276971756414571e-7,-1.0089582877830061,0.761,0.946,0.0023963651980875842
2.1682848982307014e-7,0.43076447209312363,1,1,0.004069003440019734
2.2426796646845492e-7,-1.3558523027972706,0.498,0.804,0.004208612658747025
2.581996279237947e-7,-1.3684515747956114,0.356,0.679,0.004845374217617932
4.841338058582288e-7,-0.41256877376071,0.99,1,0.009085255000735521
5.153419990010417e-7,0.5921611323648337,0.995,1,0.009670907953253548
6.159162608197169e-7,-4.049075345795695,0.01,0.161,0.011558284550542808
6.535454425660286e-7,-3.9797730156506885,0.01,0.161,0.012264433775194091
6.744562740556994e-7,-0.4302334900449871,1,1,0.012656846438929253
7.476412492711477e-7,-2.158257387444385,0.093,0.357,0.014030235683822358
7.708292069667736e-7,-0.4910767169200083,0.995,1,0.014465380897938473
8.354350138498255e-7,-1.3079860232339124,0.371,0.732,0.015677773469905825
1.9563652533344925e-6,-0.5936011362919769,0.712,0.946,0.03671315034407509
2.2186700031624878e-6,2.7895250035470474,0.454,0.089,0.04163556127934725
2.394613012458976e-6,-0.32280054241774714,1,1,0.044937307791805145
3.3308035290086223e-6,1.0946927256184802,0.82,0.554,0.06250585902537581
3.5692150284639216e-6,-0.4282579658405332,0.995,1,0.06697988922415395
3.851395812367407e-6,-1.1414076363303078,0.376,0.714,0.07227529381488676
4.198612443953453e-6,1.574069917689732,0.854,0.607,0.0787911611232305
4.270921119827806e-6,-4.084627231764143,0.01,0.143,0.08014810573468861
5.0489514141986025e-6,-1.3458539246747916,0.322,0.625,0.09474862223885097
6.099489182131829e-6,1.4711668610303494,0.698,0.375,0.11446301399188591
7.350913195511161e-6,3.359935660404148,0.39,0.071,0.13794723702696246
9.22343651090262e-6,-1.0071526544419949,0.859,0.893,0.17308700956359857
1.1902211711435223e-5,-2.30717249829167,0.054,0.25,0.2233569049767934
1.3079481142096427e-5,-1.4630450269370083,0.307,0.589,0.24544954311258155
1.6111163262099995e-5,0.5903833702565207,0.966,0.839,0.3023420897765685
1.654107051579591e-5,-6.0811975164229555,0,0.089,0.31040972929942606
1.654107051579591e-5,-5.65512492354471,0,0.089,0.31040972929942606
1.6672348470176687e-5,-2.4042268529780677,0.068,0.268,0.3128732913913357
1.8583658661923293e-5,-3.1122289714157643,0.02,0.161,0.34874093844965254
1.9392037454889776e-5,1.4889600447477445,0.493,0.161,0.3639109748784615
2.0306594400613157e-5,-0.5202515055155281,0.99,1,0.3810735505219065
2.0930901680746444e-5,-1.531512939496316,0.127,0.375,0.39278930094088776
2.1438884752296824e-5,1.0079697438970827,0.839,0.643,0.40232211126160217
2.2788346719983845e-5,-2.4870772635914644,0.034,0.196,0.42764611454721685
2.3000597811314066e-5,-2.296534686981343,0.02,0.161,0.4316292185271198
2.6356218550864966e-5,1.0341319038676302,0.8,0.625,0.49460079732553197
2.8761055067960244e-5,-3.657280096926484,0.01,0.125,0.539729959405342
2.8947087820834835e-5,-0.42554600815214627,1,1,0.5432210500457865
3.266352771147461e-5,-1.1564924217433692,0.327,0.607,0.6129637610335326
4.0212754697532774e-5,-1.205656249232095,0.132,0.393,0.7546325546539
4.1362432687904855e-5,-1.082383542212569,0.4,0.661,0.7762074118212225
4.399022533454485e-5,-0.6238366054717628,0.78,0.946,0.8255205686280687
4.536105781885396e-5,-2.314988347655612,0.054,0.232,0.8512456110286134
6.58662563630989e-5,-1.6482247910343295,0.073,0.268,1
6.684425152243542e-5,-1.321026578910047,0.18,0.446,1
6.814878496424048e-5,-2.4877908857263735,0.024,0.161,1
7.821097611806951e-5,-1.0239365365964483,0.283,0.571,1
8.577786056432168e-5,-1.196370312703738,0.268,0.554,1
8.680592317680993e-5,1.3785933186744748,0.566,0.268,1
9.006860723557037e-5,-1.574929487846949,0.122,0.339,1
9.157304067527121e-5,-2.027750081182271,0.059,0.232,1
9.289684501174134e-5,-2.1421205174951883,0.088,0.286,1
9.952704254431114e-5,-1.161602098998843,0.385,0.661,1
1.0076793506383348e-4,-2.803957201667701,0.02,0.143,1
1.0076793506383348e-4,-2.788731431752511,0.02,0.143,1
1.0109743853405687e-4,-2.0864733129238515,0.088,0.286,1
1.0784736515844817e-4,-2.2791392648613655,0.02,0.143,1
1.0977194487864342e-4,-1.2661391664581159,0.273,0.536,1
1.1048166679013304e-4,1.3992364970298012,0.522,0.268,1
1.1124550187945627e-4,-0.8168658124417316,0.878,0.929,1
1.1414750860959485e-4,1.7327430388062757,0.42,0.143,1
1.2102967557077658e-4,-5.093313034673855,0,0.071,1
1.2102967557077658e-4,-5.0887257659371485,0,0.071,1
1.2317886651118167e-4,-0.6460403506146772,0.649,0.875,1
1.343787366998754e-4,-1.8822922326309661,0.132,0.339,1
1.4123071820628267e-4,-1.0489391379931756,0.254,0.518,1
1.5580504743814043e-4,-1.274831605578738,0.151,0.393,1
1.6917192290544423e-4,1.7311132713635429,0.454,0.196,1
1.8732693867224115e-4,-4.277424335018351,0.005,0.089,1
1.9906967064750716e-4,-0.45384739476314806,0.99,0.982,1
2.1690530158837812e-4,1.2266977644410488,0.595,0.375,1
2.2060715510915393e-4,1.2886279081711423,0.58,0.321,1
2.4797899630079923e-4,0.47617145224177193,0.976,0.929,1
2.522518903461231e-4,-1.4480994237902431,0.127,0.339,1
2.528606182934285e-4,1.6724092049848938,0.405,0.143,1
2.6603434504222234e-4,-0.897622935061583,0.966,1,1
2.9280111619770584e-4,-2.7405453555117743,0.024,0.143,1
3.1414355856417567e-4,0.578575491480203,0.995,0.946,1
3.401392665789973e-4,-1.8609446725288814,0.068,0.232,1
3.606024507323689e-4,5.167666027011119,0.195,0,1
3.619928296442036e-4,1.2953697687380021,0.615,0.393,1
4.0319805108136045e-4,0.6194705164567091,0.932,0.804,1
4.14223877552276e-4,-1.7212003259540223,0.039,0.179,1
4.153126900396951e-4,1.3392876064106467,0.478,0.25,1
4.3542975061073127e-4,0.5381883339734377,0.956,0.946,1
4.406530602750405e-4,0.23272271377310627,1,1,1
4.4788778120163637e-4,-0.4411556133894865,0.859,0.982,1
5.403749429931496e-4,-2.763222285316827,0.02,0.125,1
5.427800921441793e-4,-0.6989895400305342,0.844,0.946,1
5.45140665044349e-4,1.7431204805047043,0.424,0.196,1
5.518426012411617e-4,-1.6408011586861044,0.093,0.268,1
5.586092054113808e-4,-1.5818771876021738,0.146,0.339,1
5.598092785052791e-4,-1.1747255892469173,0.234,0.464,1
5.646887872570786e-4,-0.8078392662954812,0.859,0.929,1
5.77099320235495e-4,-2.0289405513790353,0.034,0.161,1
5.934704129596564e-4,0.5163153982094189,0.98,0.964,1
5.952297383758876e-4,1.049896151033912,0.698,0.5,1
6.012753784773253e-4,0.555383652623874,0.946,0.893,1
6.183086885687633e-4,-0.8425409359152872,0.254,0.518,1
6.199501121874026e-4,-0.462171643353666,0.849,0.982,1
6.260220464107786e-4,-0.5019181978290628,0.893,0.946,1
6.723697550114156e-4,-0.35847146056380375,1,1,1
6.820825799155987e-4,1.343439515833175,0.527,0.321,1
6.845406713884288e-4,2.150196596649865,0.293,0.071,1
7.140984147945982e-4,-2.3660209989361976,0.029,0.143,1
7.358530094007739e-4,-1.3866476705104613,0.166,0.375,1
7.660661454218671e-4,-3.0048498953488165,0.015,0.107,1
8.522062782238306e-4,-1.3544627596032912,0.176,0.375,1
8.783042023959593e-4,-2.465918804486471,0.015,0.107,1
8.960674445987275e-4,-5.034902844252594,0,0.054,1
8.960674445987275e-4,-4.892900050135262,0,0.054,1
8.960674445987275e-4,-4.752070272564053,0,0.054,1
8.960674445987275e-4,-4.774172826085303,0,0.054,1
8.960674445987275e-4,-4.384182513988794,0,0.054,1
8.960674445987275e-4,-4.877725918850233,0,0.054,1
8.960674445987275e-4,-5.118114332298237,0,0.054,1
8.960674445987275e-4,-5.173531860065442,0,0.054,1
8.960674445987275e-4,-4.923920369604639,0,0.054,1
8.960674445987275e-4,-4.602710693428261,0,0.054,1
9.113294559800095e-4,-1.4405880481935576,0.215,0.429,1
9.189832510014943e-4,-2.4684618290578912,0.015,0.107,1
9.263579266447667e-4,-1.1317028103629156,0.307,0.554,1
9.30138096127509e-4,-0.6574644977997273,0.698,0.857,1
9.323850488215484e-4,-1.5441728754620558,0.054,0.196,1
9.538613846270951e-4,0.9402824426778065,0.615,0.393,1
9.735367715108094e-4,-0.9426688762691738,0.312,0.554,1
0.0010314964213082366,-2.0865837366995654,0.029,0.143,1
0.001044687559386082,-2.0723314979806036,0.039,0.161,1
0.0010799147458405054,-3.381099398223313,0.01,0.089,1
0.0010898647870886027,-1.3174733522399673,0.146,0.339,1
0.0011288027110754892,-1.3428562506053288,0.185,0.375,1
0.0011453470271967742,-1.2733503120587542,0.102,0.286,1
0.0011587969473314196,-1.1103244978916644,0.063,0.214,1
0.0011594565222484668,-0.927743392726175,0.429,0.661,1
0.001164552322934134,-3.254624888741121,0.01,0.089,1
0.0011645748514248684,1.3631005607452749,0.415,0.196,1
0.0012107677291570181,2.192964815921207,0.302,0.107,1
0.00121719864535117,-0.4140173963924676,1,1,1
0.0012236802792248418,-0.9053458527451668,0.254,0.482,1
0.0012548205814140179,-3.822907532337048,0.005,0.071,1
0.0012548205814140179,-3.7435240073219638,0.005,0.071,1
0.0012722394813644044,-1.8382422547593258,0.039,0.161,1
0.0012781678801674762,0.328640535621048,1,1,1
0.001286949874359421,-2.514280650392772,0.01,0.089,1
0.0012922079078582932,-3.7685791732389653,0.005,0.071,1
0.0013306210605423306,-3.5282479920086396,0.005,0.071,1
0.0013306210605423306,-3.947355755780602,0.005,0.071,1
0.0013306210605423306,-3.514593815325595,0.005,0.071,1
0.0013312059450969011,-1.0650114032409563,0.171,0.375,1
0.0013700853930418888,-3.372992378879449,0.005,0.071,1
0.0013700853930418888,-3.3523486542317635,0.005,0.071,1
0.0013700853930418888,-3.436896278081266,0.005,0.071,1
0.0013700853930418888,-3.4385320076853882,0.005,0.071,1
0.0013700853930418888,-3.2643959487510106,0.005,0.071,1
0.0013700853930418888,-2.9176518816264028,0.005,0.071,1
0.001379911903251582,-1.678660277437731,0.039,0.161,1
0.0013882577808939662,-1.4435934194305067,0.059,0.196,1
0.0014246956240359313,-1.8168178999434415,0.049,0.179,1
0.0014732824033139226,0.3788327055628349,0.985,0.982,1
0.001493300419833423,0.5343212385556009,0.746,0.554,1
0.001540685663882374,-0.2924391237287063,0.985,1,1
0.0015590124615524046,-1.2525386136771237,0.098,0.268,1
0.0016282201802583281,1.1518155304443989,0.468,0.25,1
0.0016885520653028125,-1.7195095070200888,0.024,0.125,1
0.0016986152777633127,-1.7134097464502052,0.127,0.304,1
0.0017442671233025774,-1.2413144483412535,0.195,0.393,1
0.001877248649060776,1.334779980571518,0.434,0.214,1
0.0018839364185714324,1.105283590803599,0.478,0.268,1
0.0019028076856402222,-0.2973093969145144,0.976,1,1
0.001950400453664532,-2.4030256917407824,0.054,0.179,1
0.0019879047594182154,-0.3847010625719256,0.737,0.929,1
0.0020141761476271153,-1.0965396406129466,0.268,0.482,1
0.0020649850119387786,-0.8171511904961277,0.288,0.518,1
0.0021188338472796354,-1.2375479411942192,0.088,0.25,1
0.0021969355581989785,-1.783206553238705,0.063,0.196,1
0.002289398719657128,-0.48357716843873844,0.863,0.929,1
0.00230406202516494,-1.8842304131669019,0.034,0.143,1
0.0023041477028095674,1.314723051562984,0.463,0.286,1
0.0024508402367547917,-1.0387289591185236,0.307,0.518,1
0.002453698839609452,-1.5114784352999528,0.073,0.214,1
0.0024688742752087957,-0.4214718117219851,0.971,0.964,1
0.002489638093675019,3.447128659362078,0.205,0.036,1
0.0024923681885044152,-1.105117898601329,0.171,0.357,1
0.0024935772290041957,-2.5171710055308036,0.02,0.107,1
0.0024935772290041957,-2.7364009505077695,0.02,0.107,1
0.0025340674619016984,0.5156853462535835,0.961,0.929,1
0.0025556587714941907,-1.0439242908767872,0.078,0.232,1
0.0025944083245889836,-2.7149171894368234,0.02,0.107,1
0.0026557353219309804,-0.5111638520281474,0.771,0.839,1
0.0026643548160898817,-1.5474717122073558,0.088,0.232,1
0.002785785744056162,-0.9588877836426788,0.185,0.393,1
0.002835067857695555,-1.1146178916767728,0.122,0.286,1
0.002863005719992593,-2.1930063201812815,0.02,0.107,1
0.0028948291113013373,-1.2386059886495857,0.166,0.339,1
0.002967583023301039,-1.2339119337381512,0.2,0.393,1
0.0029728447199765325,3.791020229449164,0.171,0.018,1
0.003090103314592465,-1.3285142015763123,0.063,0.196,1
0.003129260409118456,-0.7139069473718401,0.249,0.482,1
0.003139859820354821,-1.5071353046154559,0.054,0.179,1
0.0031448851927813196,-0.4854388855925005,0.873,0.946,1
