p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
6.976477126757054e-207,4.66223728508373,0.341,0.023,1.3092056976072288e-202,9,PHLDA1
2.0744596789688845e-141,2.877621107136951,0.724,0.163,3.8929310335530087e-137,9,RGCC
2.2633853276140094e-103,5.269242570951181,0.13,0.006,4.24746890580045e-99,9,CCL2
3.1731014118685825e-98,3.9358012980807726,0.195,0.016,5.954642109512582e-94,9,PPARG
9.098819532824322e-88,4.812348687893937,0.119,0.006,1.7074844735298123e-83,9,BCAR3
3.3035383128695435e-85,3.585923740288519,0.218,0.023,6.199419997930985e-81,9,CD109
2.4214411482668316e-83,4.015434463811839,0.176,0.015,4.544076458837536e-79,9,SMOX
9.778033989652969e-81,2.2255900271577578,0.628,0.182,1.834945858498276e-76,9,G0S2
7.031986478175371e-79,3.906934406881106,0.226,0.026,1.3196225824943902e-74,9,C15orf48
1.4397553451486347e-73,0.9441593948895948,1,0.999,2.701844880705928e-69,9,FTH1
9.054618741867985e-72,2.547232599397354,0.816,0.435,1.699189753098946e-67,9,MAP3K8
3.144199144596454e-71,2.0861052637618704,0.797,0.396,5.900404114749705e-67,9,JARID2
1.905541920528089e-70,4.471239325928556,0.1,0.005,3.5759399680630115e-66,9,PLPP3
6.968500532675714e-68,2.9030478701465885,0.31,0.055,1.3077088099619244e-63,9,B3GNT5
1.510930335430725e-67,2.44600157141891,0.433,0.103,2.8354118674692985e-63,9,LMNA
7.164406731718205e-66,3.174041904298773,0.238,0.034,1.3444725672742383e-61,9,RAPH1
3.2422235242591007e-65,2.073900984316364,0.467,0.12,6.084356665624628e-61,9,HBEGF
4.11590287979724e-63,3.252501710562491,0.23,0.034,7.723903344227501e-59,9,FLNB
4.756787793491015e-62,3.3505199181381995,0.161,0.017,8.926587973265238e-58,9,SDC2
1.5002935294679636e-61,3.516352108139662,0.211,0.029,2.8154508373995805e-57,9,THBD
8.281118519276092e-60,1.8453571303950345,0.755,0.361,1.5540347013273514e-55,9,LINC-PINT
2.887527776384716e-57,1.6852664433420605,0.858,0.554,5.418734625163558e-53,9,HIF1A
3.1204711836812564e-53,3.0504121522136205,0.337,0.081,5.855876223296246e-49,9,CTSL
1.9594074030805487e-52,1.5666482920103864,0.831,0.479,3.6770239326209576e-48,9,ATP2B1
8.046279843062751e-51,2.719056616383164,0.234,0.041,1.5099648753491558e-46,9,EMP1
4.748504436437641e-50,4.118884193367658,0.088,0.006,8.911043425418876e-46,9,CSF1
9.95659494326709e-50,3.5833737312139284,0.36,0.097,1.8684546070535022e-45,9,FABP5
1.9650235555745225e-48,5.52384221513576,0.046,0.002,3.687563204391149e-44,9,MSC
8.624946750071056e-46,3.0469929880854063,0.146,0.019,1.6185575071183344e-41,9,TNFRSF12A
4.3871130829318976e-45,2.4913263713270264,0.345,0.094,8.232856411429999e-41,9,ENSG00000226824
1.3664261348491736e-44,3.6164833936308347,0.096,0.008,2.564235284657959e-40,9,STX1A
4.994835208718187e-44,5.0122089897954325,0.05,0.002,9.37330775268055e-40,9,PHLDA1-AS1
2.7946774053637016e-43,2.7191190616339154,0.211,0.039,5.2444916189055226e-39,9,LHFPL2
2.8458683546041364e-43,4.3031194951739895,0.061,0.003,5.3405565542501224e-39,9,NEU4
2.9362860112046825e-43,2.755142666515748,0.199,0.035,5.5102343286267074e-39,9,SYNJ2
7.428395862739671e-43,5.18327443762799,0.046,0.002,1.3940127676017267e-38,9,MET
9.75861209643503e-43,1.9994611419225246,0.322,0.082,1.8313011460169976e-38,9,TAMALIN
1.3220256615179066e-42,2.016086688792287,0.414,0.132,2.4809133564045034e-38,9,ATP13A3
1.6262783933167283e-42,1.5941992315950277,0.701,0.378,3.0518740328981725e-38,9,IRF2BP2
3.7064414976579905e-42,3.0120260956590856,0.149,0.021,6.955508114504985e-38,9,NRIP3
5.5246547841381854e-42,3.41823718559261,0.126,0.016,1.036756716791372e-37,9,ANKH
3.0873169818692884e-41,1.3865639489482686,0.732,0.403,5.793659048175906e-37,9,UPP1
3.757832485486231e-41,2.8563569172718912,0.142,0.019,7.051948442263461e-37,9,IFITM10
5.313709462955812e-41,2.297441872088845,0.375,0.114,9.971707178182878e-37,9,CXCL2
3.2323242473138133e-40,1.4687111553030638,0.778,0.463,6.065779682509101e-36,9,MAFB
5.575651832013354e-40,1.1480411438161346,0.927,0.649,1.046326822795626e-35,9,CEBPB
1.1184976637331792e-38,2.3099848066086035,0.245,0.056,2.098972715761684e-34,9,GPR183
1.273346216223671e-38,2.3337359914186924,0.33,0.096,2.389561509365341e-34,9,DOCK4
1.4259999618736006e-38,2.2305721747921208,0.245,0.056,2.676031528451999e-34,9,FAM20C
4.77536337692696e-38,1.8144103897336255,0.467,0.175,8.961446913141132e-34,9,DSE
4.98811282787822e-38,1.850115512875064,0.475,0.182,9.360692532796266e-34,9,BHLHE40
1.2864264777832703e-36,6.374585145012341,0.019,0,2.414107928208085e-32,9,LINC01705
1.303188045358931e-36,1.5838093572905545,0.609,0.292,2.44556268592057e-32,9,SGK1
2.7949298791239616e-36,3.377496745480779,0.111,0.014,5.244965411164027e-32,9,SERPINE1
3.4707692187239556e-36,2.969571936277989,0.138,0.021,6.513245515857375e-32,9,DHRS3
4.566433217995226e-36,3.378318895966946,0.149,0.024,8.569368576889842e-32,9,AREG
1.9371635590541124e-35,2.6760363411549317,0.161,0.028,3.6352811349209475e-31,9,CD22
3.8747898875937974e-35,0.7117883093500259,0.996,0.966,7.27143070305852e-31,9,S100A10
1.8778346105055536e-34,5.036901974115958,0.031,0.001,3.523944430074722e-30,9,NKX3-1
8.908591601286663e-33,3.103782729470613,0.119,0.017,1.6717862998974552e-28,9,TNFRSF21
1.1194402567951439e-32,3.3592480128451303,0.119,0.017,2.100741585901767e-28,9,TPST1
1.2462626588009084e-32,3.75718348240559,0.077,0.007,2.338736505505785e-28,9,TMEM158
1.5290618203743482e-32,1.2365481616089948,0.801,0.573,2.8694374121145017e-28,9,IFNGR2
1.5852167023956005e-32,1.3660324392193488,0.72,0.443,2.9748176637155837e-28,9,BCL2A1
1.606646053269374e-32,1.6197649244611387,0.517,0.232,3.0150319835653074e-28,9,MIR22HG
1.710082578473755e-32,1.1991562115552707,0.793,0.543,3.2091409667638487e-28,9,NINJ1
3.275502492392715e-32,4.5517804078495185,0.034,0.001,6.146807977224169e-28,9,ENSG00000235151
3.976829514384523e-32,1.6220871031565227,0.54,0.253,7.462918266693996e-28,9,PID1
2.1092150761789667e-31,4.714570000776113,0.038,0.002,3.958153011957449e-27,9,HS3ST1
2.461643117394083e-31,2.369107280948944,0.257,0.071,4.6195194741017364e-27,9,VEGFA
3.5961822446633975e-31,1.6671301843151105,0.467,0.201,6.748595600335332e-27,9,GABARAPL1
3.8043829957198624e-31,1.7295214544618331,0.425,0.172,7.139305129767894e-27,9,HMGA1
6.953794593075966e-31,1.5096020836135238,0.579,0.296,1.3049490933366357e-26,9,NRIP1
1.331972171511271e-30,1.5197935354792493,0.487,0.211,2.499578977058051e-26,9,FOSL2
3.9632690278656005e-30,3.186705706913985,0.077,0.008,7.437470657692586e-26,9,MN1
7.791542562570189e-30,1.789934044738976,0.375,0.139,1.4621608772919216e-25,9,NXT1
1.44308974479171e-29,1.9991943945799027,0.299,0.094,2.7081022150761226e-25,9,GPRIN3
2.1305912333608244e-29,1.2308489360747656,0.697,0.429,3.998267508524923e-25,9,ARF6
2.2972134249609026e-29,3.27279874603582,0.069,0.007,4.31095071328163e-25,9,RHBDL3
3.120350984089283e-29,1.689700254429076,0.51,0.24,5.855650656741949e-25,9,APOBEC3A
4.3880799299673674e-29,1.2975546733941141,0.582,0.29,8.234670796576762e-25,9,CDKN1A
6.082239176055446e-29,1.1281164842406293,0.766,0.497,1.1413930037785652e-24,9,CD63
5.247437112037875e-28,1.2297912253506786,0.762,0.517,9.847340484450277e-24,9,PLAUR
7.492166253255328e-28,1.41701683317113,0.533,0.259,1.4059799190858947e-23,9,RFX2
1.0757609210019822e-27,1.2616163327359395,0.628,0.344,2.01877294435232e-23,9,PIK3R5
2.2439871542582765e-27,3.615095417271196,0.054,0.004,4.2110662936810815e-23,9,IL10
2.523684756328922e-27,1.5226197638459422,0.406,0.164,4.7359468137268554e-23,9,CXXC5
3.1793599473772533e-27,1.8608798928849644,0.605,0.354,5.966386877248153e-23,9,HMOX1
4.411784026549689e-27,6.694649468902802,0.011,0,8.279153904223147e-23,9,CLDN5
5.932171123421386e-27,2.275108069060986,0.161,0.035,1.1132312330212573e-22,9,IRAK2
6.205866858508923e-27,1.7152717081142894,0.364,0.141,1.1645929746677845e-22,9,EAF1
2.2623050504654497e-26,0.6467407516747317,0.996,0.978,4.245441657703463e-22,9,H3-3B
3.948234809045529e-26,1.7042288097713982,0.307,0.104,7.40925744265484e-22,9,LUCAT1
1.6380140602363058e-25,1.3173787122853255,0.617,0.354,3.0738971854394515e-21,9,CTNNB1
1.868196282821589e-25,2.2555266886928185,0.276,0.092,3.505857144342994e-21,9,ASPH
3.4967445162381966e-25,1.8236471740210054,0.345,0.133,6.5619907591725995e-21,9,EHD4
1.7853416150383204e-24,4.200810035729816,0.038,0.002,3.3503720747809123e-20,9,LNCTSI
2.8074525410363726e-24,2.718396960091703,0.169,0.041,5.268465438508857e-20,9,THBS1
2.9284306390293593e-24,5.376413362549876,0.019,0.001,5.495492937202495e-20,9,NCS1
3.48205655824338e-24,1.601420022001403,0.368,0.149,6.534427337199528e-20,9,SLA
3.643926721978349e-24,1.9069148460076824,0.253,0.081,6.838192886464569e-20,9,TUBB6
4.3184233798838846e-24,1.3874360243810169,0.437,0.2,8.103953314690098e-20,9,CSRNP1
4.403939912505881e-24,2.3774570644745654,0.165,0.04,8.264433639808536e-20,9,SQLE
4.7718560745982976e-24,1.5125619735028955,0.444,0.208,8.954865109591166e-20,9,TLE3
5.277010175114406e-24,5.394830728225031,0.027,0.001,9.902837294619694e-20,9,FN1
1.016955965308725e-23,4.465996457869868,0.042,0.003,1.9084195644983536e-19,9,HAMP
2.2047485006146313e-23,1.9484515142407406,0.203,0.057,4.1374310362534173e-19,9,FOSL1
